 Temp.     Deff        IWC         V_mass      N          Dmean   Beff     2/Qabs(12)_eff
(deg. C)   (um)      (g/cm3)       (cm/s)    (#/cm3)      (cm)

 -42.0    87.3053   0.27482E-07    37.385   0.2629E-01   .01805   1.0301   1.9193
 -41.0    92.3841   0.15010E-07    42.410   0.1103E-01   .01971   1.0302   1.9200
 -42.0    95.5955   0.21005E-07    45.611   0.1357E-01   .02083   1.0301   1.9203
 -41.0    99.5988   0.32160E-07    49.613   0.1743E-01   .02254   1.0302   1.9206
 -41.0   100.3273   0.36071E-07    49.936   0.1585E-01   .02595   1.0300   1.9214
 -41.0   101.7917   0.30537E-07    52.554   0.1550E-01   .02243   1.0302   1.9208
 -41.0    92.6724   0.16244E-07    43.493   0.1320E-01   .01838   1.0303   1.9195
 -41.0    94.1998   0.38394E-07    44.738   0.2576E-01   .02077   1.0300   1.9205
 -41.0   108.3200   0.25350E-07    57.568   0.7437E-02   .03099   1.0302   1.9219
 -41.0   109.2311   0.27678E-07    59.067   0.8292E-02   .03019   1.0301   1.9220
 -41.0   100.6902   0.34349E-07    52.508   0.3171E-01   .01411   1.0317   1.9169
 -41.0    99.8178   0.29453E-07    50.474   0.1552E-01   .02280   1.0301   1.9208
 -42.0    96.1356   0.24411E-07    47.269   0.1770E-01   .01878   1.0304   1.9197
 -40.0   102.2680   0.13901E-07    51.823   0.5325E-02   .02789   1.0300   1.9217
 -39.0    95.7611   0.17901E-07    46.747   0.1321E-01   .01825   1.0304   1.9196
 -39.0    96.8433   0.19577E-07    47.257   0.1185E-01   .02088   1.0302   1.9205
 -39.0    94.0818   0.16272E-07    44.526   0.1075E-01   .02043   1.0300   1.9205
 -41.0    84.9284   0.30677E-07    35.550   0.3882E-01   .01465   1.0306   1.9173
 -41.0    82.7846   0.18969E-07    33.547   0.2520E-01   .01464   1.0305   1.9172
 -41.0    72.8507   0.28752E-08    27.422   0.1332E-01   .00725   1.0389   1.8937
 -64.0    35.3245   0.31538E-08     5.304   0.2395E+00   .00283   1.1384   1.7000
 -64.0    34.4053   0.44475E-08     5.745   0.3866E+00   .00259   1.1598   1.6790
 -64.0    24.8784   0.29494E-08     3.069   0.5688E+00   .00208   1.2577   1.5714
 -64.0    24.3564   0.22180E-08     2.922   0.4525E+00   .00204   1.2649   1.5665
 -64.0    31.2967   0.40112E-08     4.460   0.4288E+00   .00250   1.1760   1.6512
 -63.0    26.3770   0.24225E-08     3.742   0.4296E+00   .00208   1.2459   1.5866
 -63.0    29.7046   0.42815E-08     4.120   0.5429E+00   .00235   1.1996   1.6312
 -63.0    33.2507   0.56267E-08     5.090   0.5223E+00   .00262   1.1596   1.6726
 -63.0    26.1684   0.30687E-08     2.967   0.5214E+00   .00219   1.2327   1.5913
 -63.0    30.2870   0.18617E-08     4.261   0.2332E+00   .00234   1.1932   1.6379
 -65.0    33.6429   0.28183E-08     4.631   0.2386E+00   .00276   1.1474   1.6867
 -65.0    30.3744   0.13217E-08     3.912   0.1510E+00   .00248   1.1814   1.6448
 -65.0    29.1809   0.15246E-08     3.720   0.1957E+00   .00238   1.1968   1.6292
 -65.0    26.5091   0.15257E-08     3.240   0.2515E+00   .00218   1.2334   1.5944
 -65.0    25.1012   0.23941E-08     2.955   0.4506E+00   .00210   1.2525   1.5767
 -65.0    26.1495   0.19761E-08     3.209   0.3370E+00   .00215   1.2386   1.5902
 -64.0    24.1285   0.12828E-08     2.767   0.2825E+00   .00199   1.2627   1.5647
 -65.0    25.0161   0.12139E-08     2.975   0.2448E+00   .00205   1.2537   1.5749
 -65.0    24.9537   0.85483E-09     2.856   0.1659E+00   .00209   1.2519   1.5755
 -48.0    52.4427   0.96646E-09    10.919   0.1992E-01   .00472   1.0524   1.8449
 -55.0    40.6467   0.23541E-08     6.624   0.1133E+00   .00338   1.0988   1.7589
 -63.0    28.3999   0.17630E-08     3.656   0.2472E+00   .00229   1.2105   1.6185
 -64.0    32.3405   0.40445E-08     4.465   0.3709E+00   .00265   1.1593   1.6719
 -62.0    29.8221   0.31644E-08     3.920   0.3745E+00   .00243   1.1881   1.6387
 -62.0    31.4019   0.18437E-08     4.181   0.1991E+00   .00252   1.1747   1.6568
 -62.0    28.6459   0.14728E-08     3.627   0.1983E+00   .00233   1.2044   1.6234
 -62.0    28.4257   0.11655E-08     3.725   0.1606E+00   .00229   1.2091   1.6198
 -62.0    34.6892   0.48494E-08     5.136   0.3736E+00   .00281   1.1402   1.6964
 -62.0    36.4386   0.34569E-08     5.748   0.2392E+00   .00292   1.1302   1.7120
 -61.0    34.7549   0.21917E-08     5.518   0.1810E+00   .00272   1.1499   1.6891
 -56.0    39.5437   0.38303E-08     6.689   0.1984E+00   .00322   1.1088   1.7443
 -52.0    55.6474   0.12903E-07    14.958   0.2402E+00   .00452   1.0576   1.8410
 -52.0    50.0550   0.24257E-08    10.993   0.6257E-01   .00411   1.0676   1.8178
 -47.0    70.6800   0.57109E-08    23.172   0.2765E-01   .00795   1.0377   1.8977
 -43.0    77.0414   0.60574E-08    28.885   0.1884E-01   .00947   1.0353   1.9056
 -41.0    69.2623   0.14965E-07    25.329   0.1180E+00   .00587   1.0449   1.8789
