 Temp.     Deff        IWC         V_mass      V_N       N          Dmean   Beff
(deg. C)   (um)      (g/cm3)       (cm/s)     (cm/s)   (#/cm3)      (cm)

 -49.0    64.4916   0.20568E-07    21.980     3.434   0.3472E+00   .00327   1.0629
 -43.0    79.0360   0.18683E-07    31.571    10.281   0.6230E-01   .00685   1.0351
 -45.0    83.1703   0.23844E-07    35.249    11.396   0.6120E-01   .00757   1.0343
 -45.0    75.4793   0.27611E-07    31.992     4.559   0.2356E+00   .00367   1.0497
 -45.0    86.0680   0.38646E-07    39.012    12.308   0.8271E-01   .00800   1.0339
 -43.0    70.6674   0.71924E-07    26.840     4.129   0.8254E+00   .00373   1.0527
 -34.0   103.4546   0.69428E-07    54.850    25.730   0.3986E-01   .01794   1.0306
 -35.0    95.6965   0.46967E-07    45.970    24.695   0.3540E-01   .01687   1.0305
 -43.0    80.9155   0.26222E-07    32.324    10.011   0.8379E-01   .00725   1.0346
 -44.0    73.0534   0.32879E-07    25.385     7.440   0.1884E+00   .00560   1.0387
 -37.0    88.6721   0.30125E-07    39.631    16.973   0.4270E-01   .01166   1.0315
 -21.0   109.3549   0.26646E-07    61.340    28.717   0.1146E-01   .01949   1.0306
 -22.0   115.0792   0.14146E-07    67.740    29.495   0.5042E-02   .02033   1.0306
 -22.0   118.5611   0.89683E-08    71.927    28.150   0.3087E-02   .02024   1.0306
 -21.0   102.2742   0.50654E-07    54.849    23.334   0.3455E-01   .01566   1.0307
 -20.0   149.7929   0.45454E-07   105.560    20.807   0.1023E-01   .01777   1.0311
 -20.0   143.5170   0.24383E-07    98.952    21.693   0.6168E-02   .01802   1.0310
 -12.0   149.8978   0.26249E-07   103.339    24.529   0.4681E-02   .02144   1.0310
  -5.0   119.1457   0.67691E-07    72.964    13.232   0.4833E-01   .00933   1.0321
  -5.0   126.6317   0.91363E-07    83.365    32.475   0.2351E-01   .02269   1.0306
  -5.0   130.8663   0.94343E-07    89.285     5.308   0.1380E+00   .00448   1.0354
  -4.0   138.8853   0.58445E-07    98.592     5.501   0.7180E-01   .00484   1.0348
  -4.0   145.5649   0.16638E-06   102.548    34.461   0.2606E-01   .02702   1.0306
